Year,Season,ONI,ENSO_Phase
1950.0,DJF,-1.5,La Nina
1951.0,DJF,-0.8,La Nina
1952.0,DJF,0.5,El Nino
1953.0,DJF,0.4,Neutral
1954.0,DJF,0.8,El Nino
1955.0,DJF,-0.7,La Nina
1956.0,DJF,-1.1,La Nina
1957.0,DJF,-0.2,Neutral
1958.0,DJF,1.8,El Nino
1959.0,DJF,0.6,El Nino
1960.0,DJF,-0.1,Neutral
1961.0,DJF,0.0,Neutral
1962.0,DJF,-0.2,Neutral
1963.0,DJF,-0.4,Neutral
1964.0,DJF,1.1,El Nino
1965.0,DJF,-0.6,La Nina
1966.0,DJF,1.4,El Nino
1967.0,DJF,-0.4,Neutral
1968.0,DJF,-0.6,La Nina
1969.0,DJF,1.1,El Nino
1970.0,DJF,0.5,El Nino
1971.0,DJF,-1.4,La Nina
1972.0,DJF,-0.7,La Nina
1973.0,DJF,1.8,El Nino
1974.0,DJF,-1.8,La Nina
1975.0,DJF,-0.5,La Nina
1976.0,DJF,-1.6,La Nina
1977.0,DJF,0.7,El Nino
1978.0,DJF,0.7,El Nino
1979.0,DJF,0.0,Neutral
1980.0,DJF,0.6,El Nino
1981.0,DJF,-0.3,Neutral
1982.0,DJF,0.0,Neutral
1983.0,DJF,2.2,El Nino
1984.0,DJF,-0.6,La Nina
1985.0,DJF,-1.0,La Nina
1986.0,DJF,-0.5,La Nina
1987.0,DJF,1.2,El Nino
1988.0,DJF,0.8,El Nino
1989.0,DJF,-1.7,La Nina
1990.0,DJF,0.1,Neutral
1991.0,DJF,0.4,Neutral
1992.0,DJF,1.7,El Nino
1993.0,DJF,0.1,Neutral
1994.0,DJF,0.1,Neutral
1995.0,DJF,1.0,El Nino
1996.0,DJF,-0.9,La Nina
1997.0,DJF,-0.5,La Nina
1998.0,DJF,2.2,El Nino
1999.0,DJF,-1.5,La Nina
2000.0,DJF,-1.7,La Nina
2001.0,DJF,-0.7,La Nina
2002.0,DJF,-0.1,Neutral
2003.0,DJF,0.9,El Nino
2004.0,DJF,0.4,Neutral
2005.0,DJF,0.6,El Nino
2006.0,DJF,-0.9,La Nina
2007.0,DJF,0.7,El Nino
2008.0,DJF,-1.6,La Nina
2009.0,DJF,-0.8,La Nina
2010.0,DJF,1.5,El Nino
2011.0,DJF,-1.3,La Nina
2012.0,DJF,-0.7,La Nina
2013.0,DJF,-0.3,Neutral
2014.0,DJF,-0.3,Neutral
2015.0,DJF,0.7,El Nino
2016.0,DJF,2.6,El Nino
2017.0,DJF,-0.2,Neutral
2018.0,DJF,-0.8,La Nina
2019.0,DJF,0.9,El Nino
2020.0,DJF,0.6,El Nino
2021.0,DJF,-0.9,La Nina
2022.0,DJF,-0.8,La Nina
2023.0,DJF,-0.5,La Nina
2024.0,DJF,1.9,El Nino
2025.0,DJF,-0.4,Neutral
2026.0,DJF,-0.4,Neutral
1950.0,JFM,-1.3,La Nina
1951.0,JFM,-0.5,La Nina
1952.0,JFM,0.4,Neutral
1953.0,JFM,0.6,El Nino
1954.0,JFM,0.5,El Nino
1955.0,JFM,-0.6,La Nina
1956.0,JFM,-0.8,La Nina
1957.0,JFM,0.1,Neutral
1958.0,JFM,1.7,El Nino
1959.0,JFM,0.6,El Nino
1960.0,JFM,-0.1,Neutral
1961.0,JFM,0.0,Neutral
1962.0,JFM,-0.2,Neutral
1963.0,JFM,-0.2,Neutral
1964.0,JFM,0.6,El Nino
1965.0,JFM,-0.3,Neutral
1966.0,JFM,1.2,El Nino
1967.0,JFM,-0.5,La Nina
1968.0,JFM,-0.7,La Nina
1969.0,JFM,1.1,El Nino
1970.0,JFM,0.3,Neutral
1971.0,JFM,-1.4,La Nina
1972.0,JFM,-0.4,Neutral
1973.0,JFM,1.2,El Nino
1974.0,JFM,-1.6,La Nina
1975.0,JFM,-0.6,La Nina
1976.0,JFM,-1.2,La Nina
1977.0,JFM,0.6,El Nino
1978.0,JFM,0.4,Neutral
1979.0,JFM,0.1,Neutral
1980.0,JFM,0.5,El Nino
1981.0,JFM,-0.5,La Nina
1982.0,JFM,0.1,Neutral
1983.0,JFM,1.9,El Nino
1984.0,JFM,-0.4,Neutral
1985.0,JFM,-0.8,La Nina
1986.0,JFM,-0.5,La Nina
1987.0,JFM,1.2,El Nino
1988.0,JFM,0.5,El Nino
1989.0,JFM,-1.4,La Nina
1990.0,JFM,0.2,Neutral
1991.0,JFM,0.3,Neutral
1992.0,JFM,1.6,El Nino
1993.0,JFM,0.3,Neutral
1994.0,JFM,0.1,Neutral
1995.0,JFM,0.7,El Nino
1996.0,JFM,-0.8,La Nina
1997.0,JFM,-0.4,Neutral
1998.0,JFM,1.9,El Nino
1999.0,JFM,-1.3,La Nina
2000.0,JFM,-1.4,La Nina
