"Reservoir_name","Basin","Subbasin","Agency_name","Lat","Long","Date","Year","Month","Full_reservoir_level","Live_capacity_FRL","Storage","Level"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-01","2024","03","320.04","0.095","0.0081","303.505"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-02","2024","03","320.04","0.095","0.00755","303.352"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-03","2024","03","320.04","0.095","NA","NA"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-04","2024","03","320.04","0.095","0.00669","303.093"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-05","2024","03","320.04","0.095","0.00621","302.941"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-06","2024","03","320.04","0.095","0.00601","302.88"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-07","2024","03","320.04","0.095","0.00582","302.819"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-08","2024","03","320.04","0.095","0.00563","302.758"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-09","2024","03","320.04","0.095","0.00539","302.682"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-10","2024","03","320.04","0.095","0.0063","302.971"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-11","2024","03","320.04","0.095","0.00766","303.383"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-12","2024","03","320.04","0.095","NA","NA"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-13","2024","03","320.04","0.095","0.00926","303.825"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-14","2024","03","320.04","0.095","0.00821","303.535"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-15","2024","03","320.04","0.095","0.00712","303.23"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-16","2024","03","320.04","0.095","0.00611","302.91"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-17","2024","03","320.04","0.095","0.00505","302.575"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-18","2024","03","320.04","0.095","0.00413","302.285"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-19","2024","03","320.04","0.095","0.00331","302.026"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-20","2024","03","320.04","0.095","0.00254","301.782"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-21","2024","03","320.04","0.095","0.00169","301.478"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-22","2024","03","320.04","0.095","0.00085","301.173"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-23","2024","03","320.04","0.095","0.00023","300.944"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-24","2024","03","320.04","0.095","NA","300.807"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-25","2024","03","320.04","0.095","NA","300.685"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-26","2024","03","320.04","0.095","NA","300.563"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-27","2024","03","320.04","0.095","NA","300.472"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-28","2024","03","320.04","0.095","NA","300.396"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-29","2024","03","320.04","0.095","NA","300.35"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-30","2024","03","320.04","0.095","NA","300.335"
"Aliyar Reservoir","West flowing rivers from Tadri to Kanyakumari Basin","Varrar and others","CWC","10.47266817","76.97459708","2024-03-31","2024","03","320.04","0.095","NA","300.319"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-01","2024","03","519.6","3.105","0.88","513.18"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-02","2024","03","519.6","3.105","0.876","513.16"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-03","2024","03","519.6","3.105","0.872","513.14"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-04","2024","03","519.6","3.105","0.868","513.12"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-05","2024","03","519.6","3.105","0.864","513.1"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-06","2024","03","519.6","3.105","0.859","513.07"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-07","2024","03","519.6","3.105","0.841","512.98"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-08","2024","03","519.6","3.105","0.818","512.86"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-09","2024","03","519.6","3.105","0.793","512.73"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-10","2024","03","519.6","3.105","0.767","512.59"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-11","2024","03","519.6","3.105","0.737","512.43"
"Almatti Reservoir","Krishna Basin","Krishna Upper","CWC","16.34679294","75.73004306","2024-03-12","2024","03","519.6","3.105","0.719","512.33"
