Year,ONI,ENSO_Phase,Monsoon_Rainfall,Rainfall_Departure
1950.0,-0.8583333333333334,La Niña,923.2,3.7
1951.0,0.4416666666666666,Neutral,749.2,-18.7
1952.0,0.1666666666666666,Neutral,827.8,-8.2
1953.0,0.7083333333333334,El Niño,983.4,9.8
1954.0,-0.3833333333333333,Neutral,914.4,3.1
1955.0,-0.95,La Niña,962.0,10.1
1956.0,-0.5750000000000001,La Niña,987.8,13.6
1957.0,0.9583333333333334,El Niño,898.1,-2.4
1958.0,0.8250000000000001,El Niño,1012.9,9.8
1959.0,0.125,Neutral,1036.7,14.3
1960.0,0.0583333333333333,Neutral,930.0,0.6
1961.0,-0.0333333333333333,Neutral,1078.2,21.8
1962.0,-0.2083333333333333,Neutral,893.6,-3.0
1963.0,0.6583333333333333,El Niño,912.2,-2.1
1964.0,-0.35,Neutral,1031.4,9.8
1965.0,0.8999999999999999,El Niño,738.3,-18.2
1966.0,0.375,Neutral,779.8,-13.2
1967.0,-0.3,Neutral,884.1,0.1
1968.0,0.1416666666666667,Neutral,791.6,-10.3
1969.0,0.7416666666666667,El Niño,888.3,0.2
1970.0,-0.325,Neutral,998.7,12.2
1971.0,-0.9416666666666668,La Niña,885.7,4.0
1972.0,0.925,El Niño,697.4,-23.9
1973.0,-0.625,La Niña,956.1,7.5
1974.0,-0.8833333333333333,La Niña,798.8,-12.0
1975.0,-1.0583333333333331,La Niña,1011.4,15.2
1976.0,-0.0499999999999999,Neutral,901.5,2.5
1977.0,0.5,El Niño,911.3,4.0
1978.0,-0.1,Neutral,965.2,9.2
1979.0,0.2416666666666666,Neutral,724.8,-19.0
1980.0,0.2583333333333333,Neutral,912.1,3.9
1981.0,-0.2833333333333333,Neutral,887.1,-0.2
1982.0,1.0083333333333335,El Niño,767.4,-14.5
1983.0,0.475,Neutral,1001.5,13.0
1984.0,-0.4916666666666667,Neutral,859.8,-4.4
1985.0,-0.6,La Niña,832.5,-7.1
1986.0,0.2416666666666667,Neutral,769.9,-12.7
1987.0,1.275,El Niño,774.6,-19.4
1988.0,-0.8166666666666668,La Niña,1094.1,19.3
1989.0,-0.6083333333333333,La Niña,920.0,0.9
1990.0,0.3083333333333333,Neutral,972.3,6.2
1991.0,0.6416666666666666,El Niño,828.3,-9.3
1992.0,0.6416666666666667,El Niño,831.7,-6.7
1993.0,0.325,Neutral,905.7,-0.9
1994.0,0.475,Neutral,1001.2,12.5
1995.0,-0.1583333333333333,Neutral,900.3,-1.9
1996.0,-0.4666666666666666,Neutral,935.1,3.4
1997.0,1.1666666666666667,El Niño,927.3,2.2
1998.0,-0.0666666666666666,Neutral,943.1,4.0
1999.0,-1.2333333333333334,La Niña,863.1,-4.4
2000.0,-0.8250000000000001,La Niña,833.7,-7.8
2001.0,-0.3,Neutral,821.9,-7.8
2002.0,0.6333333333333333,El Niño,737.3,-19.2
2003.0,0.2583333333333333,Neutral,919.5,2.3
2004.0,0.4583333333333333,Neutral,774.2,-13.8
2005.0,0.0333333333333333,Neutral,874.3,-1.3
2006.0,0.0583333333333333,Neutral,889.3,-0.4
2007.0,-0.6083333333333334,La Niña,943.0,5.7
2008.0,-0.775,La Niña,877.7,-1.7
2009.0,0.3,Neutral,698.2,-21.8
2010.0,-0.4666666666666667,Neutral,911.1,2.0
2011.0,-0.775,La Niña,901.3,1.6
2012.0,-0.075,Neutral,823.9,-7.1
2013.0,-0.2416666666666666,Neutral,937.2,5.6
