Basin,Storage_Percentage
East flowing rivers between Pennar and Kanyakumari Basin,76.55917774086379
Brahmani and Baitarni Basin,59.38121078443659
Mahanadi Basin,54.2610528089877
Tapi Basin,51.943945560978136
Narmada Basin,50.31508126364989
Indus (Up to border) Basin,50.22899347451004
Ganga Basin,48.261952777402506
Barak and Others Basin,47.74110861903236
Godavari Basin,43.100993661642825
West flowing rivers from Tapi to Tadri Basin,42.749363223101135
Mahi Basin,42.107946135623344
West flowing rivers of Kutch and Saurashtra including Luni Basin,38.01065473940478
West flowing rivers from Tadri to Kanyakumari Basin,37.54592073147916
Brahamaputra Basin,35.205960899681095
Krishna Basin,34.72441384327339
Sabarmati Basin,31.62010576795071
Cauvery Basin,28.27828078562491
Pennar Basin,13.305917753259779
East flowing rivers between Mahanadi and Pennar Basin,2.8356299212598426
